id,status,sort,user_created,date_created,user_updated,date_updated,model,brand_name,image,price,discount_info,partner_name,partner_link_url,partner_link_rel_2,partner_link_title,ceneo_url,ceneo_link_rel_2,ceneo_link_title,max_performance,max_area,max_area_ro,has_humidification,humidification_type,humidification_switch,humidification_efficiency,humidification_performance_measure,humidification_area,water_tank_capacity,hygrometer,hygrostat,min_value_for_hygrostat,max_value_for_hygrostat,increment_of_the_hygrostat,evaporative_filter,evaporative_filter_life,evaporative_filter_price,ionizer_type,ionizer_switch,mesh_filter,hepa_filter,hepa_filter_service_life,cations_count,anions_count,hepa_filter_price,carbon_filter,carbon_filter_service_life,carbon_filter_price,uvc,uv_light_generator,mobile_app,mobile_features,remote_control,control_other,rated_power_consumption,width,height,weight,depth,review_link,ionization,rated_voltage,capability_points,capability,profitability_points,ranking,profitability,min_loudness,max_loudness,max_rated_power_consumption,filter_type,coffered_type,integrated_price,integrated_hepa_filter_service_life,separate_price,separate_hepa_filter_service_life,separate_price_carbon,separate_carbon-filter_service_life,certificates,pm2_sensor,pm2_indicator,colors,number_of_fan_speeds,functions,lzo_tvcop_sensor,temperature_sensor,humidity_sensor,light_sensor,hepa_filter_class,effectiveness_hepa_filter,info_ionization,info_loudness,info_rated_power_consumption,pm2_concentration_1,pm2_concentration_2,pm2_concentration_3,pm2_concentration_4,pm2_concentration_5,pm2_concentration_6,air_state_1,air_state_2,air_state_3,air_state_4,air_state_5,air_state_6,indicator_color_1,indicator_color_2,indicator_color_3,indicator_color_4,indicator_color_5,indicator_color_6,price_date,ranking_hidden,auto_points,estetic,filter_costs,other_filter,functions_and_equipment,heating_and_cooling_function,with_fan,min_area_ro,image_url,main_ranking,for_kids,cooling_function,bedroom,smokers,office,kindergarten,astmatic,alergic,type_of_device,silver_ion,type,is_promo,gallery
74,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2023-01-04T08:41:30.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T12:42:08.000Z,Air Purifier 4,Xiaomi,37edde64-5fd8-4c34-8337-00f9893ed9d1,774,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/124658322#crid=508353&pid=16557,"[""nofollow"",""noopener""]",link do sklepu Ceneo.pl,400,48,,0,,0,,,,,0,0,,,,0,,,plasma,1,0,1,12,,,169,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,25,55.5,5.6,24,https://ranking-oczyszczaczy.pl/recenzje/xiaomi-air-purifier-4/,1,110-240,,0,,,0,32,63,30,,,,,,,,,,0,0,"[""biały""]",4,"[""1"",""2"",""3"",""4"",""5"",""6""]",1,0,0,1,0,99.95,,"Prędkość maksymalna: 62,5 dB, prędkość 3: 52,5 dB","3,8-29,5",0-20,21-35,36-55,Powyżej 55,,,Czyste powietrze,Lekko zanieczyszczone powietrze,Umiarkowanie zanieczyszczone powietrze,Silnie zanieczyszczone powietrze,,,Zielony,Żółty,Pomarańczowy,Czerwony,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,238]"
75,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2023-01-04T09:11:18.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T12:42:03.000Z,Air Purifier 4 Pro,Xiaomi,8d35b755-e399-4115-b973-ec333f25648b,1148,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/121790193#crid=504662&pid=16557,"[""nofollow"",""noopener""]",link do sklepu Ceneo.pl,500,60,50,0,,0,,,,,0,0,,,,0,,,plasma,1,0,1,18,,,219,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,27.5,68,6.8,27.5,https://ranking-oczyszczaczy.pl/recenzje/xiaomi-air-purifier-4-pro/,1,110-240,,0,,,0,34,65,30,1,,,,,,,,,0,0,"[""biały""]",4,"[""1"",""2"",""3"",""4"",""5"",""6""]",1,0,0,1,0,99.95,,"Prędkość maksymalna: 66 dB, prędkość 3: 56 dB",6-27,0-20,21-35,36-55,Powyżej 55,,,Czyste powietrze,Lekko zanieczyszczone powietrze,Umiarkowanie zanieczyszczone powietrze,Silnie zanieczyszczone powietrze,,,Zielony,Żółty,Pomarańczowy,Czerwony,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,239]"
76,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2023-01-04T09:43:24.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T12:41:52.000Z,Air Purifier 3H,Xiaomi,0a7a2ea6-50db-473c-9197-3ced6ee8d2b9,749,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/117205811#crid=522861&pid=16557,"[""noopener"",""nofollow""]",link do sklepu Ceneo.pl,380,48,48,0,,0,,,,,0,0,,,,0,,,,0,1,1,6,,,148,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,24,54,4.8,24,https://ranking-oczyszczaczy.pl/recenzje/xiaomi-air-purifier-3/,0,110-240,,0,,,0,32,64,38,1,,,,,,,,,0,0,"[""biały""]",4,"[""1"",""2"",""3"",""4"",""5"",""6""]",1,0,0,1,0,99.95,,"2 prędkość: powyżej 56 db, 3 prędkość: powyżej 62 dB, Tryb Ulubiony (Turbo): 64,5","Tryb Sleep: 2,2 W, 1 prędkość: 2,3 W, 2 prędkość: 15 W, 3 prędkość: 26,2 W, Tryb Ulubiony (Turbo): 38,4 W",Do 75,75-150,Ponad 150,,,,Dobra jakość powietrza,Umiarkowana jakość powietrza,Zła jakość powietrza,,,,Zielony,Pomarańczowy,Czerwony,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[185,186,187,188,189,190,191,192,193,194,195,196,197,241]"
77,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2023-01-04T10:11:24.000Z,94875643-bc29-4c6b-89d0-3b59e7ddf858,2024-09-10T09:41:09.000Z,Air Purifier Pro H,Xiaomi,79d283fa-55a1-4697-8427-f24a617d1a14,1099,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/99060135#crid=430763&pid=16557,"[""nofollow"",""noopener""]",link do sklepu Ceneo.pl,600,72,75,0,,0,,,,,0,0,,,,0,,,,0,1,1,14,,,228,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,31,73.8,9.6,31,https://ranking-oczyszczaczy.pl/recenzje/xiaomi-pro-h/,0,110-240,,67,,,54,31,61,60,1,,,,,,,,,0,0,"[""biały""]",4,"[""1"",""2"",""3"",""4"",""5"",""6""]",1,0,0,1,0,99.95,,Maksymalnie: 68 db,"4,4-67,4",Do 75,75-150,Ponad 150,,,,Dobra jakość powietrza,Umiarkowana jakość powietrza,Zła jakość powietrza,,,,Zielony,Pomarańczowy,Czerwony,,,,2024-09-10,FALSE,,,,,"[""Tryb auto"",""Sterowanie smartfonem""]",nie,0,,,nie,nie,nie,nie,tak,nie,nie,nie,nie,,,,FALSE,"[198,199,200,201,202,203,204,205,206,207,208,209,210,211,242]"
78,published,,401efa6b-b06c-4369-9280-791140b3c7a0,2023-01-04T10:13:14.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T11:39:25.000Z,Core Mini,Levoit,9e240c8b-8a08-484c-ab44-30c949bfcab7,298,,Levoit.pl,https://levoit.pl/produkt/oczyszczacz-powietrza-levoit-core-mini/,"[""noopener"",""nofollow""]",,,"[""nofollow"",""noopener""]",,78,17,10,0,,0,,,,,0,0,,,,0,,,,0,1,1,6,,,59,1,6,59,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,,16.4,26.4,1,16.4,https://ranking-oczyszczaczy.pl/recenzje/levoit-core-mini/,0,100-240,2,2,12,,12,25,44,7,1,,,,,,,,,,,"[""biały""]",3,"[""timer"",""aromaterapia""]",,,,,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,[74]
79,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2023-01-04T10:27:58.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T12:41:41.000Z,Air Purifier 2H,Xiaomi,5098bf62-c3f3-479b-b0cd-8d55dcdd4357,602,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/85387146#crid=522860&pid=16557,"[""noopener"",""nofollow""]",link do sklepu Ceneo.pl,260,31,33,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,148,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,2,24,52,5.2,24,https://ranking-oczyszczaczy.pl/recenzje/xiaomi-air-purifier-2h/,0,110-240,,0,,,0,33,66,31,1,,,,,,,,,0,0,"[""biały""]",3,"[""1"",""2"",""3"",""4"",""5"",""6""]",1,0,0,1,0,99.95,,,,Do 75,75-150,Ponad 150,,,,Dobra jakość powietrza,Umiarkowana jakość powietrza,Zła jakość powietrza,,,,Zielony,Pomarańczowy,Czerwony,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[212,213,214]"
80,published,,401efa6b-b06c-4369-9280-791140b3c7a0,2023-01-04T11:10:17.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T11:39:31.000Z,Core 200S,Levoit,8992c397-d6bc-45ec-b585-3b69709fc45f,529,,Levoit.pl,https://levoit.pl/produkt/oczyszczacz-powietrza-levoit-core-200s-smart-hepa/,"[""noopener""]",,,"[""nofollow"",""noopener""]",,170,35,21,0,,0,,,,,0,0,,,,0,,,,0,1,1,6,,,113,1,6,113,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,1,20.5,32,3,20.5,https://ranking-oczyszczaczy.pl/recenzje/levoit-core-200s/,0,220-240V,40,40,60,,60,24,45,37,1,,,,,,,,,,,"[""biały""]",3,"[""3"",""timer""]",,,,,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,[75]
81,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2023-01-04T11:19:39.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T12:41:35.000Z,Air Purifier 3C,Xiaomi,c51d2646-dd79-4670-b5fb-1422ab05d365,449,,,,0,,https://www.ceneo.pl/99831628#crid=408853&pid=16557,"[""nofollow"",""noopener""]",link do sklepu Ceneo.pl,320,40,40,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,148,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,24,52,6.1,24,https://ranking-oczyszczaczy.pl/recenzje/xiaomi-air-purifier-3c/,0,110-240,,0,,,0,31,61,29,1,,,,,,,,,0,0,"[""biały""]",4,"[""2"",""1"",""3"",""4"",""5"",""6""]",1,1,1,1,0,99.95,,Maksymalnie: 60 dB,"2,9-28",Do 75,76-150,Ponad 150,,,,Dobra jakość powietrza,Umiarkowana jakość powietrza,Zła jakość powietrza,,,,Zielony,Pomarańczowy,Czerwony,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[215,216,217,218,219,220,221,222,223,224,225,226]"
82,published,,401efa6b-b06c-4369-9280-791140b3c7a0,2023-01-04T11:28:46.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T11:39:37.000Z,Core 600S,Levoit,5ced8a78-349e-4398-9a0b-e9c0fbc5a410,1469,,Levoit.pl,https://levoit.pl/produkt/oczyszczacz-powietrza-levoit-core-600s-smart-hepa/,"[""noopener"",""nofollow""]",,,"[""nofollow"",""noopener""]",,697,1472,,0,,0,,,,,0,0,,,,0,,,,0,1,1,,,,359,0,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,31.3,60,6.4,31.3,https://ranking-oczyszczaczy.pl/recenzje/levoit-core-600s/,0,220-240,77,77,77,,77,26,55,49,1,,,,,,,,,,,"[""biały""]",3,"[""2"",""1""]",,,,,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,[76]
83,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2023-01-04T11:31:55.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T12:41:29.000Z,Smartmi Air Purifier P1,Xiaomi,fa2a3880-3cdf-477a-afba-ad4971484c59,504,,,,0,,https://www.ceneo.pl/116858392#crid=498724&pid=16557,"[""nofollow"",""noopener""]",link do sklepu Ceneo.pl,250,30,,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,149,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,1,22,36.3,3.3,22,https://ranking-oczyszczaczy.pl/recenzje/xiaomi-smartmi-air-purifier-p1/,0,110-240,,0,,,0,30,49,30,1,,,,,,,,,0,0,"[""srebrny"",""czarny""]",3,"[""1"",""2"",""4"",""6""]",1,1,1,1,0,99.95,,Maksymalnie: 60,"2-26,7",,,,,,,,,,,,,,,,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[77,227,228,229,230,231,232,233,234,235,236]"
