id,status,sort,user_created,date_created,user_updated,date_updated,model,brand_name,image,price,discount_info,partner_name,partner_link_url,partner_link_rel_2,partner_link_title,ceneo_url,ceneo_link_rel_2,ceneo_link_title,max_performance,max_area,max_area_ro,has_humidification,humidification_type,humidification_switch,humidification_efficiency,humidification_performance_measure,humidification_area,water_tank_capacity,hygrometer,hygrostat,min_value_for_hygrostat,max_value_for_hygrostat,increment_of_the_hygrostat,evaporative_filter,evaporative_filter_life,evaporative_filter_price,ionizer_type,ionizer_switch,mesh_filter,hepa_filter,hepa_filter_service_life,cations_count,anions_count,hepa_filter_price,carbon_filter,carbon_filter_service_life,carbon_filter_price,uvc,uv_light_generator,mobile_app,mobile_features,remote_control,control_other,rated_power_consumption,width,height,weight,depth,review_link,ionization,rated_voltage,capability_points,capability,profitability_points,ranking,profitability,min_loudness,max_loudness,max_rated_power_consumption,filter_type,coffered_type,integrated_price,integrated_hepa_filter_service_life,separate_price,separate_hepa_filter_service_life,separate_price_carbon,separate_carbon-filter_service_life,certificates,pm2_sensor,pm2_indicator,colors,number_of_fan_speeds,functions,lzo_tvcop_sensor,temperature_sensor,humidity_sensor,light_sensor,hepa_filter_class,effectiveness_hepa_filter,info_ionization,info_loudness,info_rated_power_consumption,pm2_concentration_1,pm2_concentration_2,pm2_concentration_3,pm2_concentration_4,pm2_concentration_5,pm2_concentration_6,air_state_1,air_state_2,air_state_3,air_state_4,air_state_5,air_state_6,indicator_color_1,indicator_color_2,indicator_color_3,indicator_color_4,indicator_color_5,indicator_color_6,price_date,ranking_hidden,auto_points,estetic,filter_costs,other_filter,functions_and_equipment,heating_and_cooling_function,with_fan,min_area_ro,image_url,main_ranking,for_kids,cooling_function,bedroom,smokers,office,kindergarten,astmatic,alergic,type_of_device,silver_ion,type,is_promo,gallery
84,published,,401efa6b-b06c-4369-9280-791140b3c7a0,2023-01-04T11:38:54.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2024-08-12T10:58:56.000Z,Core 400 S,Levoit ,be87e3e0-1b95-4692-9f71-8923e667bc1d,1229,,Levoit.pl,https://levoit.pl/produkt/oczyszczacz-levoit-core-400s-smart-hepa/,"[""nofollow"",""noopener""]",,,"[""noopener"",""nofollow""]",,400,83,50,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,280,1,12,280,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,,27.4,52,,27.4,https://ranking-oczyszczaczy.pl/recenzje/levoit-core-400s/,0,220-240V,52,52,65,,65,24,48,24,1,,,,,,,,,,,"[""biały""]",3,"[""3"",""timer""]",,,,,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-08-12,FALSE,,,,,,nie,nie,,,nie,nie,nie,tak,nie,nie,nie,nie,nie,,,,FALSE,[78]
85,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2023-01-04T11:52:01.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T12:41:24.000Z,Smartmi Air Purifier FJY6003EU,Xiaomi,a803c087-436c-4e3d-99f5-a8d5ed6a53e0,549,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/106088567#crid=505154&pid=16557,"[""nofollow"",""noopener""]",link do sklepu Ceneo.pl,400,48,,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,163,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,26,52,5.2,26,https://ranking-oczyszczaczy.pl/recenzje/xiaomi-smartmi-air-purifier/,0,110-240,,0,,,0,,64,40,1,,,,,,,,,0,0,"[""biały""]",3,"[""1"",""2"",""4"",""5"",""6""]",0,0,0,1,0,99.95,,Maksymalnie: 64,"3,5-37,3",Poniżej 20,20-40,Ponad 40,,,,Dobra jakość powietrza,Umiarkowana jakość powietrza,Zła jakość powietrza,,,,Zielony,Pomarańczowy,Czerwony,Pomarańczowy,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[157,158,159,160,161,162,163,164,165,240]"
86,published,,401efa6b-b06c-4369-9280-791140b3c7a0,2023-01-04T12:02:42.000Z,94875643-bc29-4c6b-89d0-3b59e7ddf858,2024-10-09T08:13:36.000Z,Core P350 Pet Care,Levoit ,5eae93cd-1a29-4999-8dc5-bc3a5cb0efef,609,,Levoit.pl,https://levoit.pl/produkt/oczyszczacz-powietrza-levoit-core-p350-pet-care/,"[""noopener"",""nofollow""]",,,"[""nofollow"",""noopener""]",,187,40,23,0,,0,,,,,0,0,,,,0,,,,0,1,1,,,,139,1,,,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,24,27.4,52,5,27.4,https://ranking-oczyszczaczy.pl/recenzje/levoit-core-p350-pet-care/,0,220-240,12,12,30,,30,24,48,24,1,,,,,,,,,,,"[""biały""]",3,,,1,1,,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-10-09,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,[]
87,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2023-01-04T12:31:43.000Z,94875643-bc29-4c6b-89d0-3b59e7ddf858,2025-01-13T10:41:38.000Z,Zero,Winix,8e9196f9-3a91-4453-90ad-dd9d547d6f86,799,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/70457737#crid=240123&pid=16557,"[""nofollow"",""noopener""]",Sprawdź cenę na Ceneo.pl,390,49,49,0,,0,,,,,0,0,,,,0,,,plasma,1,1,1,12,,,,1,3,,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,3,30,60,7,20.8,https://ranking-oczyszczaczy.pl/recenzje/winix-zero/,1,220-240,,47,,,87,27,51,70,0,0,170,12,170,12,122,3,"[""AHAM"",""ECARF""]",0,1,"[""biały""]",5,"[""1"",""2"",""3"",""4""]",0,1,1,0,0,99.95,,"3 prędkość - 50 dB, Tryb turbo - 66 dB","6,2 W, 7,4 W, 11,8 W, 45,1 W",0-12,"12,1-43",>43,,,,dobry,średni,zły,,,,niebieski,żółty,czerwony,,,,2025-01-13,FALSE,,,,,,1,0,,,nie,nie,nie,nie,tak,nie,tak,nie,nie,,,,FALSE,"[79,80,81,82,83,84]"
88,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2023-01-04T12:50:51.000Z,94875643-bc29-4c6b-89d0-3b59e7ddf858,2024-09-10T10:14:10.000Z,Zero Pro,Winix,41d6ddcb-e92e-498a-b76b-07c98140699e,1119,,,,[],,https://www.ceneo.pl/86864579#cid=34545&crid=381456&pid=16557,"[""noopener"",""nofollow""]",Sprawdź cenę na Ceneo.pl,470,120,59,0,,0,,,,,0,0,,,,0,,,plasma,1,1,1,,,,,1,6-12,,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,5,41.5,60,8.5,21.5,https://ranking-oczyszczaczy.pl/recenzje/winix-zero-pro/,1,220-240,,99,,,66,28,55,90,0,0,270,,,,,,"[""AHAM"",""ECARF""]",0,1,"[""0""]",5,"[""1"",""2"",""3"",""4"",""Timer""]",0,,,0,0,99.95,null,"3 prędkość - 48 dB, Tryb Turbo - 66 dB",Tryb turbo - 71 W,,0-12,,,,,Dobre,Średnie,Złe,Bardzo złe,,,Niebieski,Żółty,Bursztynowy,Czerwony,,,2024-09-10,FALSE,,,,,"[""Tryb auto"",""Czujnik LZO"",""Jonizator plazmowy""]",nie,nie,,,nie,nie,nie,nie,tak,nie,tak,tak,nie,,,,FALSE,"[123,124,125,126,127,128]"
89,published,,401efa6b-b06c-4369-9280-791140b3c7a0,2023-01-04T13:11:24.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T11:39:49.000Z,LV-PUR131,Levoit,,330,,Allegro.pl,https://ranking-oczyszczaczy.pl/recenzje/levoit-lv-pur131/,"[""noopener"",""nofollow""]",,,"[""nofollow"",""noopener""]",,230,33,29,0,,0,,,,,0,0,,,,0,,,,0,1,1,,,,,1,,,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,,47,37.1,5.21,18.3,https://ranking-oczyszczaczy.pl/recenzje/levoit-lv-pur131/,0,120,66,66,66,,66,27,52,40,0,1,,,200,,200,,,0,0,"[""biały""]",3,,,,,,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,[]
90,published,,10f62388-6493-4bd4-8964-cb1d11ab3671,2023-01-04T14:10:58.000Z,f76fde35-7e8f-49bd-893d-9706def1e294,2024-11-06T15:00:30.000Z,AX47R9080SS,Samsung,d78efc44-7061-4eaa-ab8a-4c83c2d543ce,4695,,,,[],,https://www.ceneo.pl/85956594#crid=293896&pid=16557,"[""nofollow"",""noopener""]",link do Ceneo.pl,366,45.75,47,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,199,1,12,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,36.7,43.6,12.2,38,https://ranking-oczyszczaczy.pl/recenzje/samsung-ax47r9080ss/,0,220-240,43,43,35,52,14,18,50,35,0,0,199,12,,,,,,0,0,"[""srebrny""]",3,"[""3"",""1"",""2"",""4"",""6"",""timer"",""sterowanie głosowe""]",0,1,1,1,0,99.95,,,,≤ 15,16-35,36-75,> 75,,,Bardzo dobry,Dobry,Średni,Zły,,,niebieski,Zielony,Żółty,Czerwony,,,2024-11-06,FALSE,,,Wymiana filtra zintegrowanego (HEPA i węglowy) co 1 rok - 299 zł.,,"[""Tryb auto"",""Sterowanie smartfonem""]",1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[523,524,525,526,527]"
91,published,,10f62388-6493-4bd4-8964-cb1d11ab3671,2023-01-04T14:40:56.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2024-10-08T12:50:17.000Z,AX40R3030WM,Samsung,85066710-e752-4f1e-98cc-21136247c22d,819,,,,[],,https://www.ceneo.pl/85716066#crid=332180&pid=16557,"[""nofollow"",""noopener""]",Sprawdź ofertę na Ceneo.pl,311,40,39,0,,0,,,,,0,0,,,,0,,,,0,1,1,,,,,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,35,64,9.2,35,https://ranking-oczyszczaczy.pl/recenzje/samsung-ax40r3030wm/,0,220-240,39,39,73,,73,20,48,40,0,0,229,12,,,,,,0,1,"[""biały""]",3,"[""1"",""2"",""3"",""4"",""timer"",""""]",0,1,1,1,0,99.95,,,,≤ 15,16-35,36-75,> 75,,,Bardzo dobry,Dobry,Średni,Zły,,,Niebieski,Zielony,Żółty,Czerwony,,,2024-10-08,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,tak,tak,,,,FALSE,"[513,514,515,516]"
92,published,,10f62388-6493-4bd4-8964-cb1d11ab3671,2023-01-04T15:04:58.000Z,f76fde35-7e8f-49bd-893d-9706def1e294,2024-11-06T14:46:39.000Z,H-PURIFIER 700,Hoover,f6783048-0ed6-42e4-bac6-20686a505496,1499,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/101243749#crid=440257&pid=16557,"[""nofollow"",""noopener""]",Sprawdź ofertę,330,41,41,1,sonic,1,,,,1000,0,1,,,,0,,,,0,1,1,12,,,427,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,6,31.4,52.5,9.6,28,https://ranking-oczyszczaczy.pl/recenzje/hoover-h-purifier-700-2/,0,220-240,33,33,36,49,34,22,66,41,1,,,,,,,,,0,0,"[""biały"",""grafitowy""]",3,"[""1"",""2"",""3"",""6""]",0,0,0,1,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-11-06,FALSE,,,Zintegrowany filtr wymienny Hoover U98 – od 199 zł. Brak danych o żywotności,,"[""Aromaterapia"",""Sterowanie smartfonem"",""Tryb auto""]",1,0,,,tak,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[272,273,274,275,276,277,278,279,280,281,282]"
93,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2023-01-04T15:38:22.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2024-08-09T12:26:13.000Z,Zero Compact,Winix,a22d4ed2-027e-4065-9076-5cc61fd47154,629,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/102903729#crid=441738&pid=16557,"[""noopener"",""nofollow""]",Sprawdź cenę na Ceneo.pl,250,50,31,0,,0,,,,,0,0,,,,0,,,plasma,1,1,1,12,,,129,1,12,129,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,12,24.1,37,3.1,24.1,https://ranking-oczyszczaczy.pl/recenzje/winix-zero-compact/,1,220-240,,76,,,34,27,54,55,1,,,,,,,,"[""AHAM"",""ECARF""]",0,1,"[""biały""]",3,"[""1"",""2"",""4"",""timer""]",1,1,1,1,0,99.95,,,,0-12,12-43,>43,,,,dobre,średnie,złe,,,,niebieski,żółty,czerwony,,,,2024-08-09,FALSE,,,,,,nie,nie,,,nie,tak,nie,nie,nie,nie,nie,tak,tak,,,,FALSE,"[132,134,135]"
94,published,,10f62388-6493-4bd4-8964-cb1d11ab3671,2023-01-04T15:41:47.000Z,f76fde35-7e8f-49bd-893d-9706def1e294,2024-05-08T09:39:57.000Z,APH450D,Welltec,dfcc93fd-1953-4343-8636-657577e5cc75,2450,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/76511180#crid=436344&pid=16557,0,Sprawdź ofertę,422,52.75,53,0,,0,,,,,0,0,,,,0,,,,0,1,1,,,,,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,7,42,69,9.5,24,https://ranking-oczyszczaczy.pl/recenzje/welltec-aph450d/,1,230,57,56,45,28,45,20,56,79,0,0,,24,,,,,,0,0,"[""biały""]",6,"[""1"",""2"",""3"",""6"",""4""]",1,1,1,1,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-05-08,TRUE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[293,294,295,296,297,298]"
95,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2023-01-04T16:07:07.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2024-08-09T10:57:45.000Z,FA31-201GY FLOW A3,Electrolux,a6a5218f-3319-41e7-a9ca-b82e4c2b41ba,849,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/97519517#crid=440977&pid=16557,"[""nofollow"",""noopener""]",Sprawdź cenę na Ceneo.pl,180,,22,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,170,1,12,,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,5,24,38,2.8,24,https://ranking-oczyszczaczy.pl/recenzje/electrolux-fa31-201gy/,0,220-240,20,20,54,13,37,25,49,20,1,,,,,,,,"[""AHAM"",""ECARF""]",0,1,"[""szary""]",3,"[""1"",""2"",""4""]",,,,,0,99.95,,,,0-12,13-35,36-55,>55,,,bardzo dobre,dobre,średni,zły,,,zielony,żółty,pomarańczowy,czerwony,,,2024-08-09,FALSE,,,Filtr uniwersalny Breeze A3 – od 158 zł. Żywotność 12 mies.,,"[""Tryb auto""]",nie,nie,,,tak,tak,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[137,138,139]"
96,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2023-01-04T17:03:36.000Z,f76fde35-7e8f-49bd-893d-9706def1e294,2024-11-06T14:15:58.000Z,PA91-404DG/GY,Electrolux,2818a13f-c440-4c4c-ac6e-afb605ff4ca4,1999,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/86809579#crid=532383&pid=16557,"[""noopener"",""nofollow""]",Sprawdź cenę na Ceneo.pl,442,,55,0,,0,,,,,0,0,,,,0,,,plasma,1,1,1,12,,,299,1,12,299,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,31.5,56.5,7.9,31.5,https://ranking-oczyszczaczy.pl/recenzje/electrolux-pa91-404gy/,1,,68,68,56,9,52,17,49,50,1,,,,,,,,,0,0,"[""srebrny"",""grafitowy""]",9,"[""2"",""3"",""4""]",0,0,0,0,1,99,,,,0-12,13-35,36-55,56-150,151-250,>250,bardzo dobre,dobre,słaba,bardzo słaba,zła,bardzo zła,zielony,żółty,pomarańczowy,czerwony,purpurowy,kasztanowy,2024-11-06,FALSE,,,Wymiana filtra zintegrowanego co 12 miesięcy – 399 zł. Koszt roczny od 399 zł.,,"[""Tryb auto"",""Sterowanie smartfonem""]",nie,nie,,https://staging.ranking-oczyszczaczy.pl/wp-content/uploads/ELECTROLUX-PA91-404GY.png,tak,nie,nie,tak,tak,nie,nie,tak,tak,,,just_purifier,FALSE,"[140,141,142,143,144,145]"
97,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2023-01-04T17:34:13.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2024-12-11T08:51:18.000Z,PA91-604DG/GY,Electrolux,0684dc93-9ff0-480b-ade8-98c961022d28,2299,,,,[],,https://www.ceneo.pl/86807127#crid=532382&pid=16557,"[""noopener"",""nofollow""]",Sprawdź cenę na Ceneo.pl,620,,78,0,,0,,,,,0,0,,,,0,,,plasma,1,1,1,12,,,399,1,12,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,,31.5,72.5,7.9,31.5,https://ranking-oczyszczaczy.pl/recenzje/electrolux-pa91-604dg/,1,220-240,,73,,,62,17,49,50,1,,,,,,,,"[""AHAM"",""ECARF""]",laserowy,0,"[""srebrny"",""szary""]",9,"[""1"",""2"",""4"",""3""]",0,nie,nie,nie,EPA E12,99.5,,"5 prędkość >47 dB, 7 prędkość >53 dB, 8 prędkość >56 dB, 9 prędkość >62 dB","Prędkość 1: 4,1 W, Prędkość 2: 5,2 W, Prędkość 3: 6,1 W, Prędkość 4: 7,6 W, Prędkość 5: 9,6 W, Prędkość 6: 13 W, Prędkość 7: 18,2 W, Prędkość 8: 25,7 W, Prędkość 9: 39,4 W",0-12,13-35,36-55,56-150,151-200,>250,bardzo dobre,dobre,słabe,bardzo słabe,złe,bardzo złe,zielony,żółty,pomarańczowy,czerwony,fioletowy,Rdzawoczerwony,2024-12-11,FALSE,,,,,"[""Tryb auto"",""Sterowanie smartfonem"",""Czujnik LZO""]",nie,0,,,tak,nie,nie,tak,nie,tak,tak,tak,nie,,,,FALSE,"[146,147,148,149,150,151,152,153,154,155,156]"
99,published,,94875643-bc29-4c6b-89d0-3b59e7ddf858,2023-01-05T09:51:07.000Z,401efa6b-b06c-4369-9280-791140b3c7a0,2023-08-18T12:32:55.000Z,UA-HG30E-B,Sharp,54801cc1-895b-4faf-99e0-abd9d757e85c,999,,,,[],,https://www.ceneo.pl/73896655#crid=532404&pid=16557,"[""nofollow"",""noopener""]",Sprawdź cenę na Ceneo.pl,180,21,23,1,vapor,0,350,,,1800,1,0,,,,1,24,99,plasma,1,1,1,24,,,169,1,24,129,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,4,38,57,7.2,19.7,https://ranking-oczyszczaczy.pl/recenzje/sharp-ua-hg30e-b/,1,220-240,66,66,66,,66,21,48,27,0,1,0,,169,24,129,24,"[""PZH"",""BAF""]",1,1,"[""czarny""]",3,"[""1"",""4"",""timer""]",1,0,0,0,0,99.95,,,,,,,,,,,,,,,,,,,,,,2023-08-18,TRUE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[754,755,756,757,758]"
100,published,,10f62388-6493-4bd4-8964-cb1d11ab3671,2023-01-05T10:17:02.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2023-01-11T13:52:33.000Z,APH420H,Welltec,18d87a2d-157f-4140-8036-f653e59ec9df,2950,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/76511177#crid=436343&pid=16557,"[""nofollow""]",Sprawdź ofertę,394,49.25,49,1,vapor,0,200,,,1500,1,0,,,,1,12,98,plasma,1,1,1,24,,,,1,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",1,,11,47.8,69,10.8,31.8,https://ranking-oczyszczaczy.pl/recenzje/welltec-aph420h/,1,230,66,66,66,,66,25,56,56.3,0,0,198,,,,,,"[""PZH""]",0,0,"[""biały""]",5,"[""1"",""2"",""3"",""6"",""4""]",1,,0,1,0,99.95,,,,,,,,,,,,,,,,,,,,,,2023-01-11,TRUE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[299,300,301,302,303,304,305]"
101,published,,10f62388-6493-4bd4-8964-cb1d11ab3671,2023-01-05T11:02:54.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-11T12:29:25.000Z,APH800D,Welltec,bed9a953-425b-466a-adba-e0e9dbd22aef,3450,,,,"[""noopener"",""nofollow""]",,https://www.ceneo.pl/76511181#crid=436345&pid=16557,"[""noopener"",""nofollow""]",Sprawdź ofertę,794,99.25,99,0,,0,,,,,0,0,,,,0,,,plasma,1,1,1,24,,,289,1,,,1,"[""2""]",1,"[""Wi-Fi 2,4 GHZ""]",0,,5,35.6,66.4,13,35.6,,1,230 V,10,10,10,,10,27,52,62,0,0,289,,,,,,"[""PZH""]",,1,"[""biały""]",7,"[""1"",""2"",""4"",""5"",""3"",""6""]",,,,,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-09-11,FALSE,,,,,"[""Tryb auto"",""Jonizator plazmowy"",""Sterowanie smartfonem""]",nie,0,,,nie,nie,nie,nie,nie,nie,tak,nie,nie,,,,FALSE,"[254,255]"
102,published,,10f62388-6493-4bd4-8964-cb1d11ab3671,2023-01-05T11:26:10.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-11T12:55:16.000Z,APH1000D,Philips,b3e84ded-f634-48a4-8f04-61467b34c7b8,2950,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/89199778#crid=436341&pid=16557,"[""nofollow"",""noopener""]",Sprawdź ofertę,992,124,124,0,,0,,,,,0,0,,,,0,,,plasma,0,1,1,24,,,448,1,,,1,"[""2""]",1,"[""Wi-Fi 2,4 GHZ""]",0,,7,37.5,77.5,14,37.8,,1,230,100,100,54,,54,30,55,78,0,0,448,24,,,,,"[""PZH""]",0,1,"[""biały""]",7,"[""1"",""2"",""3"",""4"",""6""]",1,1,1,1,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-09-11,FALSE,,,,,"[""Tryb auto"",""Jonizator ostrzowy"",""Miernik wielofunkcyjny"",""Sterowanie smartfonem""]",nie,0,,,nie,nie,nie,nie,nie,nie,tak,nie,nie,,,,FALSE,"[263,264,265,266,267]"
103,published,,401efa6b-b06c-4369-9280-791140b3c7a0,2023-01-05T11:55:01.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T14:07:47.000Z,Vista 200,Levoit,6684a165-dede-4280-8a59-2a5197ae889a,332,,allegro.pl,https://allegro.pl/kategoria/do-domu-oczyszczacze-powietrza-256842?string=levoit%20vista%20200,"[""noopener"",""nofollow""]",,,"[""nofollow"",""noopener""]",,177,16,22,0,,0,,,,,0,0,,,,0,,,,0,1,1,,,,82,1,,,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,15,20,33,1.5,20,https://ranking-oczyszczaczy.pl/recenzje/levoit-vista-200/,0,220-240V,99,53,99,,60,25,36,,1,,,,,,,,,,,"[""biały""]",,,,,,,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,[]
104,published,,10f62388-6493-4bd4-8964-cb1d11ab3671,2023-01-05T12:09:32.000Z,ce682939-7d3b-4f32-85de-df7f56fffb04,2023-01-11T13:58:27.000Z,Roger Big 2,Stadler Form,685112b3-1308-422c-bf78-dd5d884d7557,1999,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/115315117#crid=493322&pid=16557,"[""nofollow"",""noopener""]",Sprawdź nasza ofertę,736,92,92,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,275,0,,,0,,1,"[""Wi-Fi 2,4 GHZ""]",0,,4,42,34,10.5,52,https://ranking-oczyszczaczy.pl/recenzje/stadler-form-roger-big-2/,0,,10,10,10,,10,28,58,90,0,0,275,12,,,,,,0,1,"[""czarny""]",5,"[""1"",""2"",""6"",""4"",""5"",""3""]",1,1,,1,1,99.5,,,,,,,,,,,,,,,,,,,,,,2023-01-11,TRUE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[309,310,311,312,313]"
105,published,,401efa6b-b06c-4369-9280-791140b3c7a0,2023-01-05T12:16:41.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T11:40:07.000Z,LV-H132,Levoit,c01f66b3-a35b-420b-8a4e-ef7f7974fdd0,360,,Amazon.pl,https://www.amazon.pl/Levoit-Oczyszczacz-Powietrza-Alergik%C3%B3w-Aktywnym/dp/B071D58ZY5/ref=sr_1_3?__mk_pl_PL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=oczyszczacz+powietrza&qid=1615466680&sr=8-3,"[""noopener"",""nofollow""]",,,"[""noopener"",""nofollow""]",,104,12,13,0,,0,,,,,0,0,,,,0,,,,0,1,1,6,,,175,1,,,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,25,20,32,3.3,20,https://ranking-oczyszczaczy.pl/recenzje/levoit-lv-h132/,0,220-240,55,55,60,,60,25,46,,1,,,,,,,,,,,"[""biały""]",3,,,,,,0,99.95,,,,,,,,,,,,,,,,,,,,,,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,[320]
106,published,,f76fde35-7e8f-49bd-893d-9706def1e294,2023-01-05T12:27:20.000Z,309a04ad-6ef4-473d-a546-8f933d59bfd8,2024-09-30T08:00:11.000Z,TP00,Dyson,0f202c15-e68c-488f-8353-774152b9165d,1599,,,,"[""nofollow"",""noopener""]",,https://www.ceneo.pl/63950797#crid=363162&pid=16557,"[""noopener"",""nofollow""]",Sprawdź cenę na Ceneo.pl,246,,31,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,299,1,12,299,0,,0,"[""Wi-Fi 2,4 GHZ""]",1,,6,19.6,101.8,3.7,19.6,https://ranking-oczyszczaczy.pl/recenzje/dyson-tp00/,0,220-240,30,30,24,,24,46,69,40,1,,,,,,,,,0,0,"[""srebrny"",""czarny""]",10,"[""funkcja swing"",""zmiana kierunku przepływu powietrza""]",0,0,0,,0,99.95,,35-62,6-56,0-35,36-53,54-70,71-150,151-250,>251,dobre,umiarkowane,złe,bardzo złe,skrajnie niskie,niebezpieczne,zielony,żółty,pomarańczowy,czerwony,bordowy,fioletowy,2024-09-30,FALSE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,[]
107,published,,10f62388-6493-4bd4-8964-cb1d11ab3671,2023-01-05T12:27:49.000Z,401efa6b-b06c-4369-9280-791140b3c7a0,2023-08-22T09:21:50.000Z,Roger Little,Stadler Form,5f59b1ad-cdd7-470e-a025-baa9113458b0,899,,,,"[""noopener"",""nofollow""]",,https://www.ceneo.pl/59639405#crid=240300&pid=16557,"[""nofollow"",""noopener""]",,249,31.12,31,0,,0,,,,,0,0,,,,0,,,,0,1,1,12,,,275,1,,,0,,0,"[""Wi-Fi 2,4 GHZ""]",0,,5,33,17,,45,https://ranking-oczyszczaczy.pl/recenzje/stadler-form-roger-little/,0,100-240,10,10,10,,10,29,59,40,0,0,275,12,,,,,"[""AHAM"",""ECARF""]",0,1,"[""srebrny""]",5,"[""1"",""2"",""6""]",1,1,1,1,1,99.5,,,,,,,,,,,,,,,,,,,,,,2023-08-22,TRUE,,,,,,1,0,,,nie,nie,nie,nie,nie,nie,nie,nie,nie,,,,FALSE,"[327,328,329,330]"
